name,description,category,location_name,duration_minutes,recommended_for,cautions,stage_start_time,ticket_status,capacity_status,location_x,location_y,current_wait_minutes
白龍の舞,光と音で白龍が空へ昇る場面を表現する演出展示です。,展示,体育館ステージ,15,演出展示を見たい人・写真を撮りたい人,フラッシュ撮影は控えてください。開演5分前までの入場がおすすめです。,10:30,整理券なし,通常,30,30,20
龍の巣カフェ,白龍モチーフの軽食と飲み物を楽しめる休憩スペースです。,飲食,本館1階 多目的室,20,休憩したい人・飲食を楽しみたい人,混雑時は席の利用時間が制限される場合があります。,,"食券あり",残りあり,25,10,5
受付,パンフレット配布と総合案内を行います。,案内,正門入口,5,最初に来た人・場所を確認したい人,落とし物や迷子の相談もここで受け付けます。,,整理券なし,通常,5,5,0
二年美術アート回廊,生徒作品を廊下沿いに展示しています。,展示,本館2階 廊下,12,静かに展示を見たい人,作品には手を触れないでください。,,整理券なし,通常,15,35,8
科学実験ラボ,身近な材料を使った実験を実演します。,体験,理科室,18,体験型企画が好きな人・親子連れ,実験器具にはスタッフの指示なしで触れないでください。,11:00,整理券あり,残りわずか,18,26,15
プラネタリウム教室,教室内に投影した星空を楽しむ上映企画です。,上映,本館3階 3-B教室,20,落ち着いて見たい人・星空が好きな人,上映中の入退室はできるだけ控えてください。,13:00,整理券あり,残りあり,12,40,25
謎解き校内ツアー,校内を巡りながら謎を解く周遊企画です。,体験,受付横スタート地点,35,友達と一緒に回りたい人,階段や廊下では走らないでください。,,整理券なし,通常,6,8,10
中庭ミニライブ,有志バンドとダンスチームによる屋外ステージです。,ステージ,中庭ステージ,25,音楽やダンスを楽しみたい人,雨天時は体育館に変更される場合があります。,12:30,整理券なし,混雑注意,22,22,0
写真部ギャラリー,学校生活や風景をテーマにした写真展示です。,展示,本館2階 2-C教室,10,写真が好きな人・短時間で見たい人,展示写真の無断転載は控えてください。,,整理券なし,通常,16,34,3
お化け屋敷,教室を使った短時間のお化け屋敷です。,体験,本館2階 2-D教室,8,スリルを楽しみたい人,暗い場所が苦手な方や小さなお子様は注意してください。,,整理券あり,満員に近い,19,36,40
茶道体験,作法を学びながらお茶を楽しめる体験企画です。,体験,和室,20,落ち着いた体験をしたい人,席数に限りがあるため待ち時間が発生する場合があります。,14:00,整理券あり,残りわずか,9,18,22
プログラミング体験,簡単なゲーム作りを体験できます。,体験,PC室,25,ものづくりやITに興味がある人,端末台数に限りがあります。,,整理券あり,残りあり,20,38,30
屋台風焼きそば,文化祭定番の焼きそばを販売します。,飲食,中庭テント,10,食事をしたい人,売り切れ次第終了です。,,食券あり,残りあり,24,23,28
白龍ソーダスタンド,白龍をイメージした青いソーダを販売します。,飲食,中庭テント,5,飲み物を買いたい人・写真を撮りたい人,氷の量は選べません。,,食券あり,通常,25,23,14
校内スタンプラリー,校内各所のスタンプを集める周遊企画です。,体験,受付横スタート地点,30,校内を広く回りたい人,階段や廊下では走らないでください。,,整理券なし,通常,6,7,4
