name,description,category,location_name,duration_minutes,recommended_for,cautions,stage_start_time,ticket_status,capacity_status,location_x,location_y,current_wait_minutes
岩沢精神病棟,廃病院をテーマにしたお化け屋敷です。,体験,4F 1-C教室,15,ホラー系の体験を楽しみたい人,料金は100〜150円です。怖さの程度や1回あたりの人数は現時点の資料では確認できません。暗所や驚かせる演出が苦手な方はご注意ください。,,有料,通常,11,80,0
4番出口,教室から無事に脱出できるか挑戦する脱出系企画です。,体験,4F 1-D教室,15,謎解きや脱出ゲームが好きな人,料金は100円と読めます。混雑時は待ち時間が発生する可能性があります。,,有料,通常,14,79,0
Travel abroad! Photo spots,外国に出かけた気分でインスタ映えする写真が撮れる英語部のフォトスポット企画です。,展示,4F 英語部,10,写真を撮りたい人,料金は無料と読めます。撮影時は周囲の通行にご注意ください。,,無料,通常,17,78,0
トイワールド・シューティング,おもちゃ箱に迷い込んだような世界でポイントを集めて脱出を目指す企画です。,体験,4F 1-F教室,15,ゲーム感覚で遊びたい人,料金は100円と読めます。,,有料,通常,20,77,0
殺人鬼脱出ゲーム,殺人鬼の追撃を振り切り、迷路からの脱出を目指す体験型企画です。,体験,4F 1-E教室,15,スリルのある企画を楽しみたい人,料金は100円と読めます。怖い演出が苦手な方はご注意ください。,,有料,通常,23,76,0
龍一情景2020~2021&ニャンコの竜一日記,コロナ禍の竜一の記録上映と卒業生マンガ展示を行う同窓会企画です。,展示,4F 同窓会,15,学校の記録や卒業生展示を見たい人,料金は無料と読めます。,,無料,通常,26,75,0
一閃賭場,気配切りの勝敗を予想して賭けるゲーム企画です。,体験,3F 1-A教室,15,勝負やゲームを楽しみたい人,料金は100〜200円です。気配切りの勝者を予想して楽しむ企画です。,,有料,通常,12,66,0
競人,走者の勝敗を予想して賭けるゲーム企画です。来場者は走らず、予想して楽しみます。,体験,3F 1-B教室,15,予想ゲームを楽しみたい人,料金は50〜300円です。参加者自身が走る企画ではありません。,,有料,通常,15,65,0
海底2Aマイル,海底をイメージしたトロッコに乗って冒険するアトラクション企画です。,体験,3F 2-A教室,15,世界観のある体験企画を楽しみたい人,料金は100円と読めます。,,有料,通常,18,64,0
一般人格付けチェック,究極の2択クイズで一流一般人を目指す企画です。,体験,3F 2-B教室,15,クイズや判定系の企画を楽しみたい人,料金は100円と読めます。,,有料,通常,21,63,0
SUPER J-3 WORLD,もぐらたたき、コイン投げ、穴ボール、ストラックアウトなどのゲームを楽しめる中3企画です。,体験,3F 中3教室,15,中学企画やミニゲームを楽しみたい人,料金は50円と読めます。,,有料,通常,24,62,0
パラダイス・Y&K,ブラックジャック、ポーカー、競馬、サイコロ、ハイ＆ロー、スロットを楽しめる合法カジノ風の中2企画です。,体験,3F 中2教室,15,ゲームや勝負企画を楽しみたい人,料金は50〜250円です。景品も用意されているそうです。,,有料,通常,27,61,0
教室に忘れた教科書,夜の学校に忘れた教科書を取りに行き、異変の中で無事に帰れるか挑戦する企画です。,体験,3F 中1教室,15,ホラーや探索系の企画を楽しみたい人,料金は無料と読めます。暗所や怖い演出が苦手な方はご注意ください。,,無料,通常,30,60,0
いもけんぴん。作品販売,美術部による白龍祭名物のいもけんぴん直売と個人作品展示・販売です。,物販,3F 美術部,10,作品展示や物販を楽しみたい人,料金は100〜300円です。売り切れにご注意ください。,,有料,通常,33,59,0
文芸部作品販売,文芸部員が制作した作品を販売する企画です。,物販,3F 文芸部,10,文芸作品や部誌を見たい人,料金は50〜300円です。,,有料,通常,36,58,0
Darts Festival,ダーツで景品を狙い、フォトスポットも楽しめる企画です。,体験,2F 2-C教室,15,景品ゲームや写真を楽しみたい人,料金は100円と読めます。安全のためスタッフの案内に従ってください。,,有料,通常,14,48,0
はっぴーわっしょいどっこいしょ縁日,運と腕前を試せる、多彩な遊びと景品がある縁日企画です。,体験,2F 2-D教室,15,縁日や景品ゲームを楽しみたい人,料金は100円と読めます。,,有料,通常,17,47,0
ミッション・イン・クラスルーム,トラップをかいくぐり、物を奪う潜入ミッション型企画です。,体験,2F 2-E教室,15,ミッション型ゲームを楽しみたい人,料金は200円と読めます。走らず安全に参加してください。,,有料,通常,20,46,0
